---config@码表分类=主码-4
---config@码表别名=系统词库
其实	adpu
老底	ftyq
墙头草	fuaj
地头蛇	fujp
无伤大雅	fwda
霍乱	fwtd
考分	ftwv
截击	fafm
截留	faqy
截稿	faty
截住	fawy
赤子之心	fbpn
才子佳人	fbww
支取	fcbc
坦桑尼亚	fcng
劫数	fcov
运抵	fcrq
云梯	fcsu
赤色	foqc
过街老鼠	ftfv
二氧化硫	frwd
远近闻名	fruq
十年寒窗	frpp
顽童	fquj
勃然大怒	fqdv
十字军	fppl
过少	fpit
勃勃	fpfp
赤水	foii
卖价	fnww
声息	fnth
亏空	fnpw
求同存异	fmdn
老龄	fthw
无可非议	fsdy
载重	fatg
云雀	fciw
无耻之徒	fbpt
无可奉告	fsdt
雷打不动	frgf
无措	fqra
支局	fcnn
远足	fqkh
过谦	fpyu
过手	fprt
赤子	fobb
直系	fhtx
直隶	fhvi
老谋深算	fyit
声部	fnuk
块状	fnud
专横	fnsa
干道	fgut
干爽	fgdq
卖唱	fnkj
击鼓	fmfk
吉星	fkjt
求新	fius
老江湖	fiid
井水不犯河水	figi
教学大纲	fidx
真迹	fhyo
动产	fcut
土话	ffyt
坑坑洼洼	ffii
土堆	fffw
坟场	fyfn
老公公	fwwc
零乱	fwtd
无价之宝	fwpp
真人真事	fwfg
封建主义	fvyy
真刀真枪	fvfs
地球仪	fgwy
士卒	fgyw
无政府主义	fgyy
起脚	fhef
超支	fhfc
培养基	fuad
教课	ftyj
老九	ftvt
十月份	feww
无用功	feal
索贿	fpmd
裁军	fapl
雷管	fltp
教士	ftfg
堆积如山	ftvm
幸甚	fuad
丧葬	fuag
丧气	furn
雪天	fvgd
雪松	fvsw
超级市场	fxyf
老妪	ftva
献艺	fman
嘉峪关	fmud
真情实感	fnpd
过载	fpfa
过眼	fphv
劫富济贫	fpiw
勃发	fpnt
超链接	fqru
越轨	fhlv
赤手空拳	frpu
趁热打铁	frrq
无可比拟	fsxr
教工	ftaa
真意	fhuj
走俏	fhwi
盐分	fhwv
救兵	firg
声泪俱下	fiwg
老泪纵横	fixs
越加	fhlk
真唱	fhkj
越境	fhfu
无冕之王	fjpg
赶工	fhaa
封条	ffts
土质	ffrf
雷声大雨点小	ffdi
十月革命	feaw
地大物博	fdtf
城防	fdby
朝三暮四	fdal
动量	fcjg
地租	fbte
栽倒	fawg
远门	fquy
赫尔辛基	fqua
违犯	fnqt
地脉	fbey
塔顶	fasd
赤贫	fowv
专刊	fnfj
专权	fnsc
考据	ftrn
救生圈	ftlu
教鞭	ftaf
超量	fhjg
超龄	fhhw
直来直去	fgff
干支	fgfc
赫兹	foux
走南闯北	ffuu
地动山摇	ffmr
吉言	fkyy
封山	ffmm
协奏曲	fdma
远在天边	fdgl
块头	fnud
去火	fcoo
老搭档	frsi
十八罗汉	fwli
雪橇	fvst
喜怒无常	fvfi
过关斩将	fulu
增开	fuga
无产者	fuft
朝臣	fjah
起头	fhud
远游	fqiy
老气	ftrn
老茧	ftaj
霜冻	fsua
无名氏	fqqa
地久天长	fqgt
过犹不及	fqge
支农	fcpe
走马灯	fcos
地铺	fbqg
戴帽	famh
二郎腿	fyev
运筹	fctd
动议	fcyy
需用	fdet
干脆利落	feta
封赏	ffip
雨刷	fgnm
雪水	fvii
南北战争	fuhq
走漏	fhin
越权	fhsc
未卜先知	fhtt
盐商	fhum
南岭	fmmw
击键	fmqv
专署	fnlf
喜笑颜开	ftug
魂牵梦萦	fdsa
雪夜	fvyw
封底	ffyq
走马上任	fchw
远销	fqqi
支吾	fcgk
南征北战	ftuh
卖主	fnyg
声控	fnrp
考博	ftfg
干咳	fgky
雷霆万钧	ffdq
远隔	fqbg
干瞪眼	fhhv
越冬	fhtu
起疑	fhxt
未几	fimt
朝贡	fjam
朝日	fjjj
坦途	fjwt
喜帖	fkmh
顽固不化	flgw
丧钟	fuqk
趁人之危	fwpq
零售额	fwpt
献策	fmtg
干柴	fghx
救生衣	ftye
老辣	ftug
趋利避害	ftnp
教具	fthw
罄竹难书	ftcn
南极洲	fsiy
土皇帝	frup
无所不知	frgt
远郊	fquq
无核	fqsy
顽抗	fqry
远扬	fqrn
声情并茂	fnua
志趣	fnfh
韧劲	fnca
无风不起浪	fmgi
南欧	fmaq
进香	fjtj
无师自通	fjtc
堤防	fjby
老当益壮	fiuu
救驾	filk
示警	fiaq
超期	fhad
坯子	fgbb
干草	fgaj
墙根	ffsv
土层	ffnf
土坯	fffg
土肥	ffec
云母	fcxg
云涛	fcid
动土	fcff
地煞	fbqv
教职员工	fbka
地学	fbip
栽植	fasf
塔尖	faid
寸草不生	fagt
地广人稀	fywt
献计献策	fyft
真凭实据	fwpr
规整	fwgk
零花	fwaw
雪耻	fvbh
鼓风机	fmsm
雾蒙蒙	faap
截流	faiy
域外	faqh
远亲	fqus
起算	fhth
直升	fhta
赶早	fhjh
赶考	fhft
老黄牛	farh
走散	fhae
二心	fgny
地委	fbtv
无牵无挂	fdfr
颠三倒四	fdwl
干戈	fgag
老中青	fkge
进逼	fjgk
颠倒是非	fwjd
丧偶	fuwj
勃勃生机	ffts
运动战	ffhk
丧父	fuwq
卖笑	fntt
地心引力	fnxl
真心诚意	fnyu
赤膊	foeg
过继	fpxo
动脉硬化	fedw
无几	fqmt
赤脚医生	feat
土葬	ffag
零零碎碎	ffdd
老气横秋	frst
无余	fqwt
未然	fiqd
救生艇	ftte
露底	fkyq
堆叠	fwcc
增选	futf
朝露	fjfk
进制	fjrm
朝纲	fjxm
鼓足	fkkh
雾化	ftwx
无利可图	ftsl
才貌	ftee
丧家之犬	fppd
无为而治	fydi
动人心魄	fwnr
救场	fifn
雷暴	flja
声威	fndg
声学	fnip
赤足	fokh
无阻	fqbe
元勋	fqkm
无疆	fqxf
二把手	frrt
劫后余生	frwt
博物院	ftbp
老态	ftdy
塔林	fass
地陷	fbbq
地气	fbrn
运量	fcjg
墙脚	ffef
霹雳舞	ffrl
十进制	ffrm
未老先衰	ffty
干花	fgaw
雨具	fghw
声色犬马	fqdc
声名狼藉	fqqa
均势	fqrv
元音	fquj
远道	fqut
均分	fqwv
鼓舞人心	frwn
无机盐	fsfh
霜叶	fskf
老辈	ftdj
走街串巷	ftka
堤岸	fjmd
韩非	fjdj
专款	fnff
截然	faqd
动口	fckk
云锦	fcqr
填料	ffou
堪培拉	ffru
土产	ffut
干校	fgsu
十全	fgwg
坡地	fhfb
起卦	fhff
赴任	fhwt
雪线	fvxg
赤红	foxa
起居室	fnpg
献计	fmyf
无则加勉	fmlq
吉庆	fkyd
鼓乐	fkqi
博览群书	fjvn
干渴	fgij
顽症	fqug
起子	fhbb
干粉	fgow
干巴	fgcn
十二指肠	ffre
封套	ffdd
老有所养	fdru
城隍	fdbr
支座	fcyw
却步	fchi
老花镜	faqu
索求	fpfi
赤身	fotm
赤豆	fogk
趋炎附势	fobr
专管	fntp
坝子	fmbb
进境	fjfu
救亡	fiyn
坑口	fykk
增白	furr
雪片	fvth
赴会	fhwf
无可置疑	fslx
无华	fqwx
增光	fuiq
十拿九稳	fwvt
走形	fhga
过虑	fpha
越俎代庖	fwwy
声母	fnxg
无所不包	frgq
丧权辱国	fsdl
赤膊上阵	fehb
老态龙钟	fddq
地线	fbxg
无出其右	fbad
款子	ffbb
救苦救难	fafc
塔台	fack
封皮	ffhc
无事不登三宝殿	fggn
朝不保夕	fgwq
博识	fgyk
霉变	ftyo
丧母	fuxg
朝令夕改	fwqn
规费	fwxj
壕沟	fyiq
起爆	fhoj
救难	ficw
求神	fipy
救济金	fiqq
翰墨	fjlf
越野赛	fjpf
协查	flsj
过眼烟云	fhof
韬略	fnlt
二十四史	fflk
土豪	ffyp
干流	fgiy
雨势	fgrv
寸头	fgud
求偶	fiwj
吉兆	fkiq
喜色	fkqc
教书匠	fnar
击发	fmnt
教益	ftuw
耄耋	ftft
霜降	fsbt
无所不为	frgy
赶鸭子上架	flbl
无性	fqnt
元曲	fqma
坟茔	fyap
堆栈	fwsg
无巧不成书	fagn
地契	fbdh
地裂	fbgq
劫狱	fcqt
老大娘	fdvy
款型	ffga
零工	fwaa
动人心弦	fwnx
填充物	fytr
载文	fayy
地磁	fbdu
云杉	fcse
支前	fcue
盐碱地	fdfb
起止	fhhh
超员	fhkm
走兽	fhul
走读	fhyf
起夜	fhyw
未时	fijf
求签	fitw
进谏	fjyg
埋设	fjym
卖国求荣	flfa
雷动	flfc
无烟煤	fooa
过当	fpiv
无成	fqdn
无后	fqrg
雨花石	fadg
博茨瓦纳	fagx
井田	fjll
雷电交加	fjul
进位	fjwu
裁撤	fary
无可争辩	fsqu
老相识	fsyk
无往不利	ftgt
才思	ftln
志得意满	ftui
增刊	fufj
老奸巨猾	fvaq
劫机	fcsm
无怪	fqnc
未可	fisk
干电池	fjib
支承	fcbd
支边	fclp
运销	fcqi
支使	fcwg
老三届	fdnm
运用自如	fetv
过急	fpqv
索然	fpqd
却之不恭	fpga
赤松	fosw
无凭无据	fwfr
南柯一梦	fsgs
雨刮器	ftkk
协约国	fxlg
喜形于色	fggq
吉人天相	fwgs
喜报	fkrb
块垒	fncc
干菜	fgae
填鸭式	flaa
款爷	ffwq
二元论	ffyw
去伪存真	fwdf
献宝	fmpg
士绅	fgxj
起笔	fhtt
趣谈	fhyo
进退维谷	fvxw
十传百	fwdj
零用	fwet
博物	fgtr
地不怕	fgnr
干股	fgem
土法	ffif
城郭	fdyb
载运	fafc
协约	flxq
露怯	fknf
未决	fiun
远渡重洋	fiti
直拨	fhrn
干冰	fgui
干笑	fgtt
二重唱	ftkj
无可奈何花落去	fsdf
载货	fawx
直抒胸臆	free
击节	fmab
赤道几内亚	fumg
无名火	fqoo
远志	fqfn
规约	fwxq
坑洼	fyif
坑杀	fyqs
赤金	foqq
声像	fnwq
亏心	fnny
云山雾罩	fmfl
戴罪立功	flua
求仙	fiwm
坏分子	fwbb
朝觐	fjak
未卜	fihh
裘皮	fihc
干瘦	fguv
土石方	fdyy
去职	fcbk
地幔	fbmh
起承转合	fblw
地矿	fbdy
顽固派	flir
嘉许	fkyt
朝见	fjmq
丧家	fupe
远交近攻	fura
老花	ftaw
违禁品	fskk
干冷	fguw
赶得及	ftey
坎肩	fqyn
均摊	fqrc
无补	fqpu
远虑	fqha
无干	fqfg
雨珠	fggr
博闻	fgub
坏疽	fgue
朝服	fjeb
鼓胀	fket
动员令	fkwy
直捣黄龙	frad
丧妻	fugv
土拨鼠	frvn
地衣	fbye
声源	fnid
求全责备	fwgt
栽花	faaw
直肠子	febb
博采众长	fewt
填鸭	fflq
专责	fngm
专断	fnon
埃米尔	foqi
过堂	fpip
过数	fpov
二踢脚	fkef
进占	fjhk
土里土气	fjfr
无党派	fiir
救险	fibw
求战	fihk
盐类	fhod
封门	ffuy
地勤	fbak
地沟	fbiq
老骥伏枥	fcws
博古通今	fdcw
南腔北调	feuy
土炕	ffoy
无罪推定	flrp
直陈	fhba
干渠	fgia
卖狗肉	fqmw
元配	fqsg
无的放矢	fryt
才力	ftlt
老粗	ftoe
运算符	fttw
丧夫	fufw
雪野	fvjf
霍然	fwqd
声讯台	fyck
无妄之灾	fypp
坦诚相见	fysm
老调重弹	fytx
志愿兵	fdrg
城厢	fdds
干巴巴	fccn
雪花膏	fayp
协理	flgj
截瘫	fauc
二传手	fwrt
起早摸黑	fjrl
进贤	fjjc
求诊	fiyw
求告	fitf
无源之水	fipi
违法必究	finp
城门失火	furo
丧胆	fuej
孝服	fteb
无机化学	fswi
声色俱厉	fqwd
直愣愣	fnnl
块茎	fnac
超编	fhxy
圭亚那	fgvf
过五关	fgud
雨情	fgng
坯布	fgdm
雨鞋	fgaf
二进宫	ffpk
献词	fmyn
零零星星	ffjj
南拳	fmud
颠沛	fhig
盐碱	fhdd
违者必究	ffnp
喜不自胜	fgte
过细	fpxl
十年树木	frss
云涌	fcic
云霓	fcfv
地膜	fbea
地黄	fbam
直流电	fijn
井然	fjqd
鼓膜	fkea
南纬	fmxf
超导体	fnws
过电	fpjn
十年动乱	frft
专横跋扈	fsky
老叟	ftvh
丧身	futm
超文本	fysg
进剿	fjvj
鼓风	fkmq
无米之炊	fopo
真空管	fptp
均码	fqdc
无往不胜	ftge
老相	ftsh
十六进制	fufr
老学究	fipw
走卒	fhyw
盐池	fhib
干群	fgvt
孝子贤孙	fbjb
封冻	ffua
赤胆忠心	fekn
震古烁今	fdow
教研员	fdkm
支离	fcyb
堆场	fwfn
进出境	fbfu
坩埚	fafk
戴高帽	fymh
土库曼	fyjl
壤土	fyff
夫权	fwsc
零蛋	fwnh
二道贩子	fumb
起搏器	frkk
老大徒伤悲	fdtd
志愿书	fdnn
地权	fbsc
教职员	fbkm
十项全能	fawc
堪当	faiv
老花眼	fahv
动如脱兔	fveq
零担	fwrj
走为上计	fyhy
地方税	fytu
封河	ffis
过劲	fpca
运输费	flxj
吉星高照	fjyj
进抵	fjrq
进针	fjqf
朝暮	fjaj
过滤嘴	fikh
封盘	ffte
魂不附体	fgbw
无援	fqre
霜花	fsaw
赤橙黄绿青蓝紫	fsah
老皇历	frdl
献技	fmrf
十四行诗	flty
雪里红	fjxa
二不休	fgws
寸断	fgon
场面话	fdyt
志在千里	fdtj
震情	fdng
朝秦暮楚	fdas
运单	fcuj
教门	ftuy
霜天	fsgd
城邑	fdkc
二重奏	ftdw
增删	fumm
老鼠过街	fvft
土豪劣绅	fyix
赤手	fort
二龙戏珠	fdcg
专号	fnkg
雷池	flib
寸土必争	ffnq
远水解不了近渴	fiqi
井壁	fjnk
云豹	fcee
壶盖	fpug
坛坛罐罐	ffrr
地脚	fbef
载誉	faiw
真金不怕火炼	fqgo
井架	fjlk
未始	fivc
求导	finf
塔斯社	fapy
载频	fahi
戴孝	faft
丧服	fueb
地方话	fyyt
无关大局	fudn
无本之木	fsps
过心	fpny
专任	fnwt
块根	fnsv
进口税	fktu
雾茫茫	faai
墩布	fydm
赤心	fony
地轴	fblm
支派	fcir
赤潮	foif
二黄	fgam
盐卤	fhhl
走读生	fytg
超凡入圣	fmtc
场院	fnbp
喜从天降	fwgb
堆肥	fwec
培土	fuff
霉烂	ftou
云蒸霞蔚	fafa
霰弹	faxu
地核	fbsy
劫夺	fcdf
款额	ffpt
雨景	fgjy
城下之盟	fgpj
远水救不了近火	fifo
赭石	fodg
过磅	fpdu
寸功	fgal
声频	fnhi
霹雷	fnfl
垛口	fmkk
无头案	fupv
赤胆	foej
地温	fbij
卖好	fnvb
未能免俗	fcqw
过账	fpmt
声腔	fnep
露白	fkrr
鼓荡	fkai
坑骗	fycy
雪恨	fvnv
境域	fufa
教管	fttp
老光	ftiq
支应	fcyi
幸喜	fufk
雪盲	fvyn
零活	fwit
救亡图存	fyld
二叠纪	fcxn
无耻之尤	fbpd
需索	fdfp
圭臬	ffth
封妻荫子	fgab
趋避	fhnk
救药	fiax
求售	fiwy
朝奉	fjdw
井绳	fjxk
雷鸣电闪	fkju
鼓槌	fksw
献辞	fmtd
南齐	fmyj
卖呆	fnks
去粗取精	fobo
十室九空	fpvp
远客	fqpt
干打雷	frfl
鼓角	fkqe
堆存	fwdh
老有所为	fdry
韬晦	fnjt
喜丧	fkfu
喜雨	fkfg
云泥之别	fipk
封山育林	fmys
坍台	fmck
直抒	fhrc
土货	ffwx
露相	fksh
超拔	fhrd
进益	fjuw
无前	fque
考期	ftad
增订	fuys
雪青	fvge
雪车	fvlg
老弱残兵	fxgr
坟包	fyqn
云崖	fcmd
老有所乐	fdrq
去芜存菁	fada
裁制	farm
贲门	fauy
老营	ftap
零敲碎打	fydr
塘坝	fyfm
赤露	fofk
地峡	fbmg
声律	fntv
无如	fqvk
无所用心	fren
声如洪钟	fviq
霍地	fwfb
款识	ffyk
堆笑	fwtt
走棋	fhsa
赤日炎炎	fjoo
赤地	fofb
款曲	ffma
老羞成怒	fudv
云开日出	fgjb
无悔无怨	fnfq
封官许愿	fpyd
未详	fiyu
喜蛋	fknh
嘉勉	fkqk
丧假	fuwn
地极	fbse
地滚球	figf
考释	ftto
震响	fdkt
城雕	fdmf
坪坝	fgfm
越障	fhbu
动辄得咎	fltt
专诚	fnyd
索还	fpgi
过磷酸钙	fdsq
南回归线	fljx
考订	ftys
地垒	fbcc
无轨	fqlv
无功受禄	faep
喜盈盈	feec
声旁	fnup
坝基	fmad
坯料	fgou
土牛	ffrh
封火	ffoo
走马换将	fcru
云际	fcbf
声誉鹊起	fiaf
求田问舍	fluw
地利人和	ftwt
无关宏旨	fupx
封镜	ffqu
圪塔	ftfa
老景	ftjy
堆垛	fwfm
坑井	fyfj
刊本	fjsg
求借	fiwa
干亲	fgus
无日	fqjj
城壕	fdfy
翅翼	fcnl
去日	fcjj
去雄	fcdc
增印	fuqg
坟丘	fyrg
栽插	fart
地波	fbih
丧魂落魄	ffar
求成	fidn
喜钱	fkqg
勃郎宁	fyps
老少边穷	filp
零七八碎	fawd
无隙可乘	fbst
支渠	fcia
考妣	ftvx
增产节约	fuax
零数	fwov
索解	fpqe
鹁鸪	fpdq
南曲	fmma
增砖添瓦	fdig
裁处	fath
雹灾	fqpo
声纹	fnxy
声强	fnxk
鼓风炉	fmoy
零打碎敲	frdy
颉颃	fkym
喜联	fkbu
老泪横流	fisi
直抒己见	frnm
求降	fibt
裁夺	fadf
规例	fwwg
丧亡	fuyn
霜期	fsad
过江之鲫	fipq
城垛	fdfm
封斋	ffyd
亏耗	fndi
二板	fgsr
款留	ffqy
土温	ffij
博引	fgxh
走乡串户	fxky
盐析	fhsr
土偶	ffwj
亏负	fnqm
卖俏	fnwi
坑木	fyss
款步	ffhi
寸阴	fgbe
坍陷	fmbq
教正	ftgh
赤忱	fonp
雪冤	fvpq
进款	fjff
声符	fntw
韦编三绝	fxdx
救荒	fiay
支吾其词	fgay
霜晨	fsjd
截长补短	ftpt
吉期	fkad
趋奉	fhdw
赵体	fhws
煮鹤焚琴	fpsg
真伪莫辨	fwau
截收	fanh
教范	ftai
壕堑	fylr
未定之天	fppg
南极圈	fslu
老框框	fssa
裁并	faua
翅果	fcjs
干急	fgqv
博洽	fgiw
起卧	fhah
老牛舐犊	frtt
去磁	fcdu
土腥	ffej
老蚌生珠	fjtg
瞽者	fkft
增盈	fuec
圩田	fgll
超尘拔俗	firw
亏折	fnrr
露宿风餐	fpmh
亏累	fnlx
运斤成风	frdm
雨后送伞	fruw
寸草春晖	fadj
违误	fnyk
地蜡	fbja
煮豆燃萁	fgoa
霜害	fspd
无伤大体	fwdw
博施济众	fyiw
恚恨	ffnv
坤表	fjge
声障	fnbu
刊授	fjre
戴月披星	ferj
干云蔽日	ffaj
裁切	faav
塔式	faaa
堪萨斯	faad
裁出	fabm
无功而返	fadr
载有	fade
十七大	fadd
截去	fafc
塔城	fafd
过期不候	fagw
栽下	fagh
夫荣妻贵	fagk
寸草不留	fagq
霸天	fagd
考勤表	fage
索菲亚	fago
载满	faia
救世济民	fain
载明	faje
裁量	fajg
塔影	fajy
塔里	fajf
域中	fakh
截图	falt
塔罗	falq
袁世凯	famn
塔山	famm
堪忧	fand
截屏	fanu
示范性	fant
规划局	fann
戴尔	faqi
埃菲尔铁塔	faqf
朝花夕拾	faqr
塔拉	faru
考勤机	fasm
载入	faty
塔身	fatm
载舟	fate
运营商	faum
运营部	fauk
霸刀	favn
载人	faww
戴维	faxw
过节费	faxj
裁纸	faxq
专营店	fayh
堪为	fayl
塔座	fayw
示范户	fayn
霸州	fayt
朝阳区	fbaq
赤卫队	fbbw
赵子龙	fbdx
越陷越深	fbfi
求职者	fbft
地王	fbgg
地里	fbjf
地量	fbjg
地跨	fbkh
地网	fbmq
地精	fbog
地火	fboo
地富	fbpg
地柜	fbsa
地籍	fbtd
朝阳门	fbuy
地鼠	fbvn
求职信	fbwy
地保	fbwk
地级	fbxe
地缝	fbxt
地市	fbym
地库	fbyl
云散	fcae
云翳	fcat
运功	fcal
去了	fcbn
却也	fcbn
云阳	fcbj
去函	fcbi
云子	fcbb
却又	fccc
却能	fcce
云台	fcck
却在	fcdh
却有	fcde
云龙	fcdx
魂牵	fcdp
动脑	fcey
动脚	fcef
去脂	fcex
去腥	fcej
去过	fcfp
运走	fcfh
运城	fcfd
支起	fcfh
去垢	fcfr
走马赴任	fcfw
云霭	fcfy
却不	fcgi
运到	fcgc
去到	fcgc
去死	fcgq
运来	fcgo
去斑	fcgy
云淡	fcio
云浮	fcie
去污	fcif
云水	fcii
却是	fcjg
魂归	fcjv
云影	fcjy
去吧	fckc
去呀	fcka
去见	fcmq
云山	fcmm
云峰	fcmt
云岭	fcmw
劫财	fcmf
去买	fcnu
去尾	fcnt
去屑	fcni
动火	fcoo
运煤	fcoa
魂断	fcon
运粮	fcoy
却被	fcpu
劫案	fcpv
去官	fcpn
动宾	fcpr
劫色	fcqc
云铜	fcqm
运镖	fcqs
喜马拉雅	fcra
动兵	fcrg
去想	fcsh
却要	fcsv
云顶	fcsd
云林	fcss
运程	fctk
运管	fctp
支委	fctv
云门	fcuy
动刀	fcvn
支那	fcvf
运货	fcwx
却仍	fcwe
运维	fcxw
却让	fcyh
南通市	fcym
老马识途	fcyw
霍布斯	fdad
雷克萨斯	fdaa
震耳	fdbg
韩非子	fdbb
城际	fdbf
城阳	fdbj
过而能改	fdcn
城邦	fddt
需有	fdde
需在	fddh
十面埋伏	fdfw
超大规模	fdfs
二百五	fdgg
城下	fdgh
震裂	fdgq
博而不精	fdgo
十三点	fdhk
震旦	fdjg
城中	fdkh
志在四方	fdly
城固	fdld
城内	fdmw
老顾客	fdpt
城外	fdqh
未成年人	fdrw
垮掉	fdrh
寸有所长	fdrt
老有所终	fdrx
城投	fdrm
城西	fdsg
魂牵梦绕	fdsx
城管	fdtp
城北	fdux
城阙	fduu
城站	fduh
需经	fdxc
志存高远	fdyf
城主	fdyg
老友记	fdyn
运用之妙	fepv
赤县神州	fepy
真彩色	feqc
喜逐颜开	feug
专用章	feuj
博采众议	fewy
地县级	fexe
二十世纪	ffax
老城区	ffaq
封基	ffad
幸运草	ffaj
进进出出	ffbb
鼓起勇气	ffcr
土鸡	ffcq
坛友	ffdc
土石	ffdg
墙面	ffdm
塔吉克斯坦	ffdf
土灰	ffdo
款款而谈	ffdy
土龙	ffdx
十二月份	ffew
走过去	fffc
土城	fffd
填进	fffj
二十一世纪	ffgx
封死	ffgq
赳赳武夫	ffgf
封严	ffgo
墙上	ffhh
填上	ffhh
封泥	ffin
填沟	ffiq
封测	ffim
封号	ffkg
堵嘴	ffkh
墙边	fflp
二十四	fflh
封网	ffmq
封赐	ffmj
雷霆崖	ffmd
二十几	ffmt
堵心	ffny
封神	ffpy
土家	ffpe
赫赫之功	ffpa
土牢	ffpr
封印	ffqg
填饱	ffqn
卦象	ffqj
填色	ffqc
填制	ffrm
地址栏	ffsu
志趣相投	ffsr
填权	ffsc
土楼	ffso
土桥	ffst
土枪	ffsw
填入	ffty
垃圾箱	ffts
款物	fftr
卦辞	fftd
填筑	ffta
封釉	ffto
封箱	ffts
土系	fftx
土鳖	ffum
老顽童	ffuj
填好	ffvb
款姐	ffve
老干妈	ffvc
恚怒	ffvc
封住	ffwy
真真假假	ffww
志士仁人	ffww
墙体	ffws
封侯	ffwn
土地公	ffwc
二进位	ffwu
垃圾袋	ffwa
封停	ffwy
墙缝	ffxt
无远弗届	ffxn
坛主	ffyg
封为	ffyl
十七	fgag
二世	fgan
二期	fgad
二七	fgag
雨落	fgai
坏了	fgbn
干出	fgbm
十三	fgdg
二三	fgdg
二万	fgdn
博友	fgdc
十成	fgdn
雨辰	fgdf
博达	fgdp
十一月份	fgew
二用	fget
二十	fgfg
十二	fgfg
干过	fgfp
二元	fgfq
十载	fgfa
十堰	fgfa
地下城	fgfd
寸进	fgfj
十天	fggd
二班	fggy
博鳌	fggq
起不到	fggc
二天	fggd
十一五	fggg
十点	fghk
二虎	fgha
坏点	fghk
干点	fghk
雨淋	fgis
二汽	fgir
博兴	fgiw
十日	fgjj
二日	fgjj
雨果	fgjs
雨蝶	fgja
干嘛	fgky
二号	fgkg
干啥	fgkw
十号	fgkg
干呕	fgka
干吼	fgkb
二中	fgkh
十四	fglh
干架	fglk
博罗	fglq
十几	fgmt
雨帽	fgmh
云开见日	fgmj
博山	fgmm
干性	fgnt
二届	fgnm
十一届三中全会	fgnw
二居	fgnd
二类	fgod
十数	fgov
博客	fgpt
二审	fgpj
干完	fgpf
十多	fgqq
士多	fgqq
地下铁	fgqr
干犯	fgqt
干鲜	fgqg
博乐	fgqi
十名	fgqk
干锅	fgqk
十年	fgrh
雨后	fgrg
十指	fgrx
干挂	fgrf
坏掉	fgrh
二泉	fgri
博白	fgrr
二楼	fgso
二极	fgse
无不可	fgsk
二等	fgtf
二千	fgtf
十种	fgtk
十秒	fgti
二重	fgtg
坏笑	fgtt
喜不自禁	fgts
干管	fgtp
二笔	fgtt
雨篷	fgtt
十六	fguy
二次	fguq
十次	fguq
二弟	fgux
博美	fgug
二章	fguj
坏道	fgut
十九	fgvt
二奶	fgve
干好	fgvb
二婚	fgvq
二姨	fgvg
二舅	fgvl
二婶	fgvp
十个	fgwh
十倍	fgwu
十亿	fgwn
十八	fgwt
二分	fgwv
十件	fgwr
老一代	fgwa
干仗	fgwd
老来俏	fgwi
十余	fgwt
二人	fgww
二级	fgxe
二维	fgxw
十强	fgxk
十级	fgxe
干缩	fgxp
十张	fgxt
二度	fgya
朝不谋夕	fgyq
博主	fgyg
博库	fgyl
博朗	fgyv
超薄	fhai
真巧	fhag
赵薇	fhat
直营	fhap
起获	fhaq
赴英	fham
起薪	fhau
赵芳	fhay
走了	fhbn
起了	fhbn
赶出	fhbm
超限	fhbv
趋附	fhbw
赵紫阳	fhbj
真能	fhce
真难	fhcw
走台	fhck
超验	fhcw
超能	fhce
越大	fhdd
走在	fhdh
越有	fhde
赶在	fhdh
超爽	fhdq
趁虚而入	fhdt
直感	fhdg
过目成诵	fhdy
真爱	fhep
真彩	fhes
走去	fhfc
真坏	fhfg
赵云	fhfc
走到	fhgc
起到	fhgc
赶来	fhgo
起开	fhga
直刺	fhgm
起亚	fhgo
直盯	fhhs
趁此	fhhx
越小	fhih
真没	fhim
越少	fhit
走光	fhiq
越洋	fhiu
越江	fhia
真帅	fhjm
超星	fhjt
越显	fhjo
赴日	fhjj
走吧	fhkc
直呼	fhkt
直叫	fhkn
走回	fhlk
真累	fhlx
南卡罗来纳	fhlx
盐山	fhmm
直邮	fhmb
越岭	fhmw
真快	fhnn
超快	fhnn
真怕	fhnr
超慢	fhnj
喜上眉梢	fhns
直发	fhnt
真数	fhov
走完	fhpf
赶写	fhpg
越多	fhqq
走错	fhqa
走狗	fhqt
真金	fhqq
真凶	fhqb
真钱	fhqg
真的	fhrq
走近	fhrp
走掉	fhrh
直指	fhrx
赶制	fhrm
直斥	fhry
真棒	fhsd
越要	fhsv
超模	fhsa
超长	fhta
真我	fhtr
真笨	fhts
趋利	fhtj
直翻	fhto
走稳	fhtq
起着	fhud
直冲	fhuk
赴美	fhug
直闯	fhuc
赶着	fhud
真好	fhvb
超女	fhvv
真如	fhvk
真像	fhwq
真货	fhwx
直供	fhwa
走位	fhwu
超强	fhxk
超高	fhym
真让	fhyh
过渡期	fiad
求其	fiad
救世	fian
救出	fibm
求出	fibm
二流子	fibb
求取	fibc
未予	ficb
求欢	ficq
未有	fide
未成	fidn
载誉而归	fidj
示爱	fiep
求胜	fiet
云消雾散	fifa
求真	fifh
未到	figc
未开	figa
未尝不可	figs
未满	fiia
未消	fiii
未泯	fiin
未果	fijs
载誉归来	fijg
未明	fije
求贤	fijc
堤溃蚁穴	fijp
未晚	fijq
过滤器	fikk
未见	fimq
救赎	fimf
云淡风轻	fiml
求同	fimg
未尽	finy
求精	fiog
未料	fiou
求数	fiov
未完	fipf
韦小宝	fipg
